# SD_of_Philadelphia_2021-2024.pdf — Teachers Salary Schedule (9/1/20 - 9/1/23)
"# population: Teachers, Apprentice Teacher, Pre-Professional Teacher, Dental Hygienist & Therapist, School Nurse and Nurse Practitioner | is_teacher_schedule: True"
"# validation_warnings: duplicate step_labels: ['01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11']; label_not_in_source: 'Bachelor’s or Equivalent 9/1/20' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Master’s or Equivalent 9/1/20' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Senior Career Teacher 9/1/20' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Demo Teacher – Bachelor’s or Equivalent 9/1/20' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Demo Teacher – Master’s or Equivalent 9/1/20' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Demo Teacher – Master’s + 30 9/1/20' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); label_not_in_source: 'Demo Teacher – Doctorate 9/1/20' — this column label is not found in the page text; header may be garbled/merged (transcribe verbatim); only 268 cell(s) for 67 step(s) x 28 lane(s) (expected ~1876) | audit corrected this table"
step,Bachelor’s or Equivalent 9/1/20,9/1/21,9/1/22,9/1/23,Master’s or Equivalent 9/1/20,9/1/21,9/1/22,9/1/23,Senior Career Teacher 9/1/20,9/1/21,9/1/22,9/1/23,Demo Teacher – Bachelor’s or Equivalent 9/1/20,9/1/21,9/1/22,9/1/23,Demo Teacher – Master’s or Equivalent 9/1/20,9/1/21,9/1/22,9/1/23,Demo Teacher – Master’s + 30 9/1/20,9/1/21,9/1/22,9/1/23,Demo Teacher – Doctorate 9/1/20,9/1/21,9/1/22,9/1/23
07,73304,79151,81724,84175,76777,79151,81724,84175,,79151,81724,84175,67058,79151,81724,84175,69402,79151,81724,84175,73563,79151,81724,84175,77033,79151,81724,84175
08,76457,82694,85382,87943,79937,82694,85382,87943,,82694,85382,87943,68282,82694,85382,87943,72160,82694,85382,87943,77002,82694,85382,87943,80481,82694,85382,87943
09,79743,86394,89202,91878,83228,86394,89202,91878,,86394,89202,91878,69529,86394,89202,91878,75027,86394,89202,91878,80601,86394,89202,91878,84082,86394,89202,91878
10,83173,90263,93197,95993,86653,90263,93197,95993,,90263,93197,95993,70797,90263,93197,95993,78010,90263,93197,95993,84367,90263,93197,95993,87847,90263,93197,95993
11,86750,94304,97369,100290,90218,94304,97369,100290,,94304,97369,100290,72090,94304,97369,100290,81110,94304,97369,100290,88310,94304,97369,100290,91780,94304,97369,100290
01,52484,56780,58625,60384,54825,56780,58625,60384,93689,56780,58625,60384,48060,56780,58625,60384,49881,56780,58625,60384,52919,56780,58625,60384,55260,56780,58625,60384
02,55606,60347,62308,64177,58643,60347,62308,64177,,60347,62308,64177,50662,60347,62308,64177,52395,60347,62308,64177,55779,60347,62308,64177,58732,60347,62308,64177
03,60639,65960,68104,70147,64021,65960,68104,70147,,65960,68104,70147,54653,65960,68104,70147,56909,65960,68104,70147,60896,65960,68104,70147,64195,65960,68104,70147
04,64194,69796,72064,74226,67665,69796,72064,74226,,69796,72064,74226,58123,69796,72064,74226,60379,69796,72064,74226,64455,69796,72064,74226,67928,69796,72064,74226
05,67402,73182,75560,77827,70876,73182,75560,77827,,73182,75560,77827,61333,73182,75560,77827,63587,73182,75560,77827,67752,73182,75560,77827,71223,73182,75560,77827
06,70353,76124,78598,80955,73827,76124,78598,80955,,76124,78598,80955,64195,76124,78598,80955,66450,76124,78598,80955,70616,76124,78598,80955,74086,76124,78598,80955
07,73304,79151,81724,84175,76777,79151,81724,84175,,79151,81724,84175,67058,79151,81724,84175,69402,79151,81724,84175,73563,79151,81724,84175,77033,79151,81724,84175
08,76457,82694,85382,87943,79937,82694,85382,87943,,82694,85382,87943,68282,82694,85382,87943,72160,82694,85382,87943,77002,82694,85382,87943,80481,82694,85382,87943
09,79743,86394,89202,91878,83228,86394,89202,91878,,86394,89202,91878,69529,86394,89202,91878,75027,86394,89202,91878,80601,86394,89202,91878,84082,86394,89202,91878
10,83173,90263,93197,95993,86653,90263,93197,95993,,90263,93197,95993,70797,90263,93197,95993,78010,90263,93197,95993,84367,90263,93197,95993,87847,90263,93197,95993
11,86750,94304,97369,100290,90218,94304,97369,100290,,94304,97369,100290,72090,94304,97369,100290,81110,94304,97369,100290,88310,94304,97369,100290,91780,94304,97369,100290
01,52484,56780,58625,60384,54825,56780,58625,60384,93689,56780,58625,60384,48060,56780,58625,60384,49881,56780,58625,60384,52919,56780,58625,60384,55260,56780,58625,60384
02,55606,60347,62308,64177,58643,60347,62308,64177,,60347,62308,64177,50662,60347,62308,64177,52395,60347,62308,64177,55779,60347,62308,64177,58732,60347,62308,64177
03,60639,65960,68104,70147,64021,65960,68104,70147,,65960,68104,70147,54653,65960,68104,70147,56909,65960,68104,70147,60896,65960,68104,70147,64195,65960,68104,70147
04,64194,69796,72064,74226,67665,69796,72064,74226,,69796,72064,74226,58123,69796,72064,74226,60379,69796,72064,74226,64455,69796,72064,74226,67928,69796,72064,74226
05,67402,73182,75560,77827,70876,73182,75560,77827,,73182,75560,77827,61333,73182,75560,77827,63587,73182,75560,77827,67752,73182,75560,77827,71223,73182,75560,77827
06,70353,76124,78598,80955,73827,76124,78598,80955,,76124,78598,80955,64195,76124,78598,80955,66450,76124,78598,80955,70616,76124,78598,80955,74086,76124,78598,80955
07,73304,79151,81724,84175,76777,79151,81724,84175,,79151,81724,84175,67058,79151,81724,84175,69402,79151,81724,84175,73563,79151,81724,84175,77033,79151,81724,84175
08,76457,82694,85382,87943,79937,82694,85382,87943,,82694,85382,87943,68282,82694,85382,87943,72160,82694,85382,87943,77002,82694,85382,87943,80481,82694,85382,87943
09,79743,86394,89202,91878,83228,86394,89202,91878,,86394,89202,91878,69529,86394,89202,91878,75027,86394,89202,91878,80601,86394,89202,91878,84082,86394,89202,91878
10,83173,90263,93197,95993,86653,90263,93197,95993,,90263,93197,95993,70797,90263,93197,95993,78010,90263,93197,95993,84367,90263,93197,95993,87847,90263,93197,95993
11,86750,94304,97369,100290,90218,94304,97369,100290,,94304,97369,100290,72090,94304,97369,100290,81110,94304,97369,100290,88310,94304,97369,100290,91780,94304,97369,100290
01,52484,56780,58625,60384,54825,56780,58625,60384,93689,56780,58625,60384,48060,56780,58625,60384,49881,56780,58625,60384,52919,56780,58625,60384,55260,56780,58625,60384
02,55606,60347,62308,64177,58643,60347,62308,64177,,60347,62308,64177,50662,60347,62308,64177,52395,60347,62308,64177,55779,60347,62308,64177,58732,60347,62308,64177
03,60639,65960,68104,70147,64021,65960,68104,70147,,65960,68104,70147,54653,65960,68104,70147,56909,65960,68104,70147,60896,65960,68104,70147,64195,65960,68104,70147
04,64194,69796,72064,74226,67665,69796,72064,74226,,69796,72064,74226,58123,69796,72064,74226,60379,69796,72064,74226,64455,69796,72064,74226,67928,69796,72064,74226
05,67402,73182,75560,77827,70876,73182,75560,77827,,73182,75560,77827,61333,73182,75560,77827,63587,73182,75560,77827,67752,73182,75560,77827,71223,73182,75560,77827
06,70353,76124,78598,80955,73827,76124,78598,80955,,76124,78598,80955,64195,76124,78598,80955,66450,76124,78598,80955,70616,76124,78598,80955,74086,76124,78598,80955
07,73304,79151,81724,84175,76777,79151,81724,84175,,79151,81724,84175,67058,79151,81724,84175,69402,79151,81724,84175,73563,79151,81724,84175,77033,79151,81724,84175
08,76457,82694,85382,87943,79937,82694,85382,87943,,82694,85382,87943,68282,82694,85382,87943,72160,82694,85382,87943,77002,82694,85382,87943,80481,82694,85382,87943
09,79743,86394,89202,91878,83228,86394,89202,91878,,86394,89202,91878,69529,86394,89202,91878,75027,86394,89202,91878,80601,86394,89202,91878,84082,86394,89202,91878
10,83173,90263,93197,95993,86653,90263,93197,95993,,90263,93197,95993,70797,90263,93197,95993,78010,90263,93197,95993,84367,90263,93197,95993,87847,90263,93197,95993
11,86750,94304,97369,100290,90218,94304,97369,100290,,94304,97369,100290,72090,94304,97369,100290,81110,94304,97369,100290,88310,94304,97369,100290,91780,94304,97369,100290
